2010-09-11 20:27:03 idle
2010-09-11 20:34:03 idle
2010-09-11 20:41:03 idle
2010-09-11 20:48:03 idle
2010-09-11 20:55:03 idle
2010-09-11 21:02:03 idle
2010-09-11 21:09:03 idle
2010-09-11 21:16:03 idle
2010-09-11 21:23:03 idle
2010-09-11 21:30:03 idle
2010-09-11 21:37:03 idle
2010-09-11 21:44:03 idle
2010-09-11 21:51:03 idle
2010-09-11 21:58:03 idle
2010-09-11 22:05:03 idle
2010-09-11 22:12:03 idle
2010-09-11 22:19:03 idle
2010-09-11 22:26:03 idle
2010-09-11 22:33:03 idle
2010-09-11 22:40:03 idle
2010-09-11 22:47:03 idle
2010-09-11 22:54:03 idle
2010-09-11 23:01:03 idle
2010-09-11 23:08:03 idle
2010-09-11 23:15:03 idle
2010-09-11 23:22:03 idle
2010-09-11 23:29:03 idle
2010-09-11 23:36:03 idle
2010-09-11 23:43:03 idle
2010-09-11 23:50:03 idle
2010-09-11 23:57:03 idle
2010-09-12 00:04:03 OBS: ID17773 (E12635 T001; prob: 0.00000120; ra: 19.2219; dec: -10.5000; p: 2.11025506082)
2010-09-12 00:11:03 OBS: ID17832 (E12635 T060; prob: 0.00000620; ra: 23.2404; dec: -6.3000; p: 2.11025181242)
2010-09-12 00:18:03 OBS: ID17774 (E12635 T002; prob: 0.00002850; ra: 21.3576; dec: -10.5000; p: 2.11024899626)
2010-09-12 00:25:03 OBS: ID17833 (E12635 T061; prob: 0.00005270; ra: 25.3531; dec: -6.3000; p: 2.11024552986)
2010-09-12 00:32:03 OBS: ID17775 (E12635 T003; prob: 0.00013410; ra: 21.5182; dec: -12.6000; p: 2.11024157268)
2010-09-12 00:39:03 OBS: ID17834 (E12635 T062; prob: 0.00014880; ra: 25.4733; dec: -8.4000; p: 2.11023726238)
2010-09-12 00:46:03 OBS: ID17776 (E12635 T004; prob: 0.00032810; ra: 21.7106; dec: -14.7000; p: 2.11023460594)
2010-09-12 00:53:03 OBS: ID17835 (E12635 T063; prob: 0.00016640; ra: 27.5960; dec: -8.4000; p: 2.11023220559)
2010-09-12 01:00:03 OBS: ID17847 (E12635 T075; prob: 0.00002660; ra: 31.5212; dec: -2.1000; p: 2.11022676876)
2010-09-12 01:07:03 OBS: ID17798 (E12635 T026; prob: 0.00067000; ra: 25.8219; dec: -12.6000; p: 2.11022129248)
2010-09-12 01:14:03 OBS: ID17777 (E12635 T005; prob: 0.00079130; ra: 19.9771; dec: -18.9000; p: 2.11021765615)
